city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Lubuklinggau,Lubuklinggau,-3.2967,102.8617,Indonesia,ID,IDN,"""Sumatera Selatan""",,208225,1360359449
"""Phan Thiết""","""Phan Thiet""",10.9375,108.1583,Vietnam,VN,VNM,"""Bình Thuận""",admin,205333,1704221456
Ternate,Ternate,0.7833,127.3667,Indonesia,ID,IDN,"""Maluku Utara""",,204215,1360041663
"""Marawi City""","""Marawi City""",8.0000,124.3000,Philippines,PH,PHL,"""Lanao del Sur""",admin,201785,1608812117
Tanjungpinang,Tanjungpinang,0.9188,104.4554,Indonesia,ID,IDN,"""Kepulauan Riau""",admin,203008,1360990589
Tarakan,Tarakan,3.3000,117.6333,Indonesia,ID,IDN,"""Kalimantan Utara""",,201635,1360080072
"""Lahad Datu""","""Lahad Datu""",5.0300,118.3400,Malaysia,MY,MYS,Sabah,,199830,1458472057
Pagadian,Pagadian,7.8333,123.4333,Philippines,PH,PHL,"""Zamboanga del Sur""",admin,199060,1608329397
Martapura,Martapura,-3.4135,114.8365,Indonesia,ID,IDN,"""Kalimantan Selatan""",minor,198239,1360139854
"""Naga City""","""Naga City""",13.6167,123.1667,Philippines,PH,PHL,Naga,admin,196003,1608775993
"""Legazpi City""","""Legazpi City""",13.1333,123.7333,Philippines,PH,PHL,Albay,admin,196639,1608693683
Gorontalo,Gorontalo,0.5411,123.0594,Indonesia,ID,IDN,Gorontalo,admin,191897,1360408580
Muar,Muar,2.0500,102.5600,Malaysia,MY,MYS,Johor,,191346,1458170112
Valencia,Valencia,7.9000,125.0833,Philippines,PH,PHL,Bukidnon,,192993,1608418474
Madiun,Madiun,-7.6300,111.5231,Indonesia,ID,IDN,"""Jawa Timur""",,186099,1360921516
Pasuruan,Pasuruan,-7.6406,112.9065,Indonesia,ID,IDN,"""Jawa Timur""",,186262,1360084806
Batu,Batu,-7.8672,112.5239,Indonesia,ID,IDN,"""Jawa Timur""",,190184,1360427259
"""Sơn Tây""","""Son Tay""",21.1382,105.5050,Vietnam,VN,VNM,"""Hà Nội""",minor,189547,1704714941
"""San Carlos City""","""San Carlos City""",15.9281,120.3489,Philippines,PH,PHL,Pangasinan,,188571,1608542323
"""Pak Kret""","""Pak Kret""",13.9125,100.4978,Thailand,TH,THA,Nonthaburi,minor,184501,1764165203
Prabumulih,Prabumulih,-3.4328,104.2356,Indonesia,ID,IDN,"""Sumatera Selatan""",minor,188082,1360148993
Panabo,Panabo,7.3000,125.6833,Philippines,PH,PHL,"""Davao del Norte""",,184599,1608577408
Banjar,Banjar,-7.3667,108.5333,Indonesia,ID,IDN,"""Jawa Barat""",minor,182819,1360289512
"""Calbayog City""","""Calbayog City""",12.0667,124.6000,Philippines,PH,PHL,Samar,,183851,1608088739
Pinrang,Pinrang,-3.7857,119.6522,Indonesia,ID,IDN,"""Sulawesi Selatan""",minor,182731,1360941841
Kabankalan,Kabankalan,9.9833,122.8167,Philippines,PH,PHL,"""Negros Occidental""",,181977,1608697923
"""Santo Tomas""","""Santo Tomas""",14.0833,121.1833,Philippines,PH,PHL,Batangas,,179844,1608845898
"""Phan Rang-Tháp Chàm""","""Phan Rang-Thap Cham""",11.5643,108.9886,Vietnam,VN,VNM,"""Ninh Thuận""",admin,179773,1704094609
Lhokseumawe,Lhokseumawe,5.1800,97.1506,Indonesia,ID,IDN,Aceh,,180200,1360418625
Palopo,Palopo,-3.0000,120.2000,Indonesia,ID,IDN,"""Sulawesi Selatan""",,180130,1360740288
Langsa,Langsa,4.4667,97.9500,Indonesia,ID,IDN,Aceh,,178334,1360337304
"""Dagupan City""","""Dagupan City""",16.0333,120.3333,Philippines,PH,PHL,Dagupan,admin,171271,1608530964
Koronadal,Koronadal,6.5000,124.8500,Philippines,PH,PHL,"""South Cotabato""",,174942,1608000651
Tebingtinggi,Tebingtinggi,3.3283,99.1625,Indonesia,ID,IDN,"""Sumatera Utara""",,169786,1360386781
Tanauan,Tanauan,14.0833,121.1500,Philippines,PH,PHL,Batangas,,173366,1608053818
Malaybalay,Malaybalay,8.1575,125.1278,Philippines,PH,PHL,Bukidnon,admin,174625,1608859265
"""Hạ Long""","""Ha Long""",20.9500,107.0833,Vietnam,VN,VNM,"""Quảng Ninh""",admin,172915,1704379547
Banyuwangi,Banyuwangi,-8.1950,114.3696,Indonesia,ID,IDN,"""Jawa Timur""",minor,172424,1360008480
Bago,Bago,10.5388,122.8384,Philippines,PH,PHL,"""Negros Occidental""",,170981,1608943172
Toledo,Toledo,10.3833,123.6500,Philippines,PH,PHL,Cebu,,170335,1608665464
Kluang,Kluang,2.0383,103.3179,Malaysia,MY,MYS,Johor,,169828,1458692921
Digos,Digos,6.7500,125.3500,Philippines,PH,PHL,"""Davao del Sur""",admin,169393,1608635653
"""Roxas City""","""Roxas City""",11.5833,122.7500,Philippines,PH,PHL,Capiz,admin,167003,1608344583
Sorsogon,Sorsogon,12.9667,124.0000,Philippines,PH,PHL,Sorsogon,admin,168110,1608265953
Tanjungbalai,Tanjungbalai,2.9667,99.8000,Indonesia,ID,IDN,"""Sumatera Utara""",,165763,1360992709
"""Hà Tĩnh""","""Ha Tinh""",18.3428,105.9058,Vietnam,VN,VNM,"""Hà Tĩnh""",admin,165396,1704544061
Metro,Metro,-5.1167,105.3000,Indonesia,ID,IDN,Lampung,,161799,1360659228
Bontang,Bontang,0.1333,117.5000,Indonesia,ID,IDN,"""Kalimantan Timur""",,161413,1360692406
"""Đồng Hới""","""Dong Hoi""",17.4833,106.6000,Vietnam,VN,VNM,"""Quảng Bình""",admin,160325,1704323043
"""Trece Martires City""","""Trece Martires City""",14.2833,120.8667,Philippines,PH,PHL,Cavite,admin,155713,1608990723
"""Hat Yai""","""Hat Yai""",7.0167,100.4667,Thailand,TH,THA,Songkhla,minor,159130,1764161022
"""Châu Đốc""","""Chau Doc""",10.7000,105.1167,Vietnam,VN,VNM,"""An Giang""",,157298,1704020910
"""Cẩm Phả""","""Cam Pha""",21.0071,107.2845,Vietnam,VN,VNM,"""Quảng Ninh""",minor,156000,1704985016
Surigao,Surigao,9.7833,125.4833,Philippines,PH,PHL,"""Surigao del Norte""",admin,154137,1608611556
Tuguegarao,Tuguegarao,17.6167,121.7167,Philippines,PH,PHL,Cagayan,admin,153502,1608110634
Baubau,Baubau,-5.4667,122.6330,Indonesia,ID,IDN,"""Sulawesi Tenggara""",,152143,1360789994
Bintulu,Bintulu,3.1700,113.0300,Malaysia,MY,MYS,Sarawak,,151617,1458164361
"""Siem Reap""","""Siem Reap""",13.3622,103.8597,Cambodia,KH,KHM,"""Siem Reap""",admin,147866,1116263015
"""Cao Lãnh""","""Cao Lanh""",10.4603,105.6331,Vietnam,VN,VNM,"""Đồng Tháp""",admin,149837,1704276832
"""Lạng Sơn""","""Lang Son""",21.8478,106.7578,Vietnam,VN,VNM,"""Lạng Sơn""",admin,148000,1704004349
"""Cam Ranh""","""Cam Ranh""",11.9020,109.2207,Vietnam,VN,VNM,"""Khánh Hòa""",,146771,1704104189
Sagay,Sagay,10.9000,123.4167,Philippines,PH,PHL,"""Negros Occidental""",,146264,1608284971
"""San Juan""","""San Juan""",14.6000,121.0333,Philippines,PH,PHL,"""San Juan""",admin,122180,1608817515
Ilagan,Ilagan,17.1333,121.8833,Philippines,PH,PHL,Isabela,admin,145568,1608190610
Pleiku,Pleiku,13.9833,108.0000,Vietnam,VN,VNM,"""Gia Lai""",admin,142900,1704220080
"""Ozamiz City""","""Ozamiz City""",8.1500,123.8500,Philippines,PH,PHL,"""Misamis Occidental""",,141828,1608100412
Mati,Mati,6.9500,126.2333,Philippines,PH,PHL,"""Davao Oriental""",admin,141141,1608000731
"""Batu Pahat""","""Batu Pahat""",1.8500,102.9300,Malaysia,MY,MYS,Johor,,140000,1458310769
Kidapawan,Kidapawan,7.0083,125.0894,Philippines,PH,PHL,Cotabato,admin,140195,1608883158
"""San Jose""","""San Jose""",15.7833,121.0000,Philippines,PH,PHL,"""Nueva Ecija""",,139738,1608000478
"""Tân An""","""Tan An""",10.5322,106.4042,Vietnam,VN,VNM,"""Long An""",admin,137498,1704199290
Mojokerto,Mojokerto,-7.4722,112.4336,Indonesia,ID,IDN,"""Jawa Timur""",,130196,1360053101
Gunungsitoli,Gunungsitoli,1.1167,97.5667,Indonesia,ID,IDN,"""Sumatera Utara""",minor,137104,1360175198
Danao,Danao,10.5333,123.9333,Philippines,PH,PHL,Cebu,,136471,1608547808
Bima,Bima,-8.4667,118.7170,Indonesia,ID,IDN,"""Nusa Tenggara Barat""",,136492,1360521866
Pageralam,Pageralam,-4.0217,103.2522,Indonesia,ID,IDN,"""Sumatera Selatan""",minor,136244,1360027360
Tawau,Tawau,4.2981,117.8831,Malaysia,MY,MYS,Sabah,,113809,1458745722
Bukittinggi,Bukittinggi,-0.3097,100.3753,Indonesia,ID,IDN,"""Sumatera Barat""",,113326,1360552560
"""City of Isabela""","""City of Isabela""",6.7000,121.9667,Philippines,PH,PHL,Basilan,admin,112788,1608621038
"""Iriga City""","""Iriga City""",13.4167,123.4167,Philippines,PH,PHL,"""Camarines Sur""",,111757,1608112592
"""Cavite City""","""Cavite City""",14.4833,120.9000,Philippines,PH,PHL,Cavite,,102806,1608639398
Laoag,Laoag,18.2000,120.6000,Philippines,PH,PHL,"""Ilocos Norte""",admin,111125,1608043510
Ligao,Ligao,13.2167,123.5167,Philippines,PH,PHL,Albay,,111399,1608907106
Gapan,Gapan,15.3075,120.9453,Philippines,PH,PHL,"""Nueva Ecija""",,110303,1608386821
Tabuk,Tabuk,17.4500,121.4583,Philippines,PH,PHL,Kalinga,,110642,1608831439
Baybay,Baybay,10.6833,124.8000,Philippines,PH,PHL,Leyte,,109432,1608960920
"""Tagbilaran City""","""Tagbilaran City""",9.6500,123.8500,Philippines,PH,PHL,Bohol,minor,105051,1608573250
Himamaylan,Himamaylan,10.1000,122.8667,Philippines,PH,PHL,"""Negros Occidental""",,106880,1608765297
"""Nakhon Si Thammarat""","""Nakhon Si Thammarat""",8.4333,99.9667,Thailand,TH,THA,"""Nakhon Si Thammarat""",admin,106322,1764409111
Raba,Raba,-8.4614,118.7470,Indonesia,ID,IDN,"""Nusa Tenggara Barat""",minor,106101,1360014952
"""Vĩnh Long""","""Vinh Long""",10.2550,105.9753,Vietnam,VN,VNM,"""Vĩnh Long""",admin,103314,1704262419
Maumere,Maumere,-8.6189,122.2123,Indonesia,ID,IDN,"""Nusa Tenggara Timur""",minor,104285,1360776014
Samal,Samal,7.0500,125.7333,Philippines,PH,PHL,"""Davao del Norte""",,104123,1608425228
Catbalogan,Catbalogan,11.7833,124.8833,Philippines,PH,PHL,Samar,admin,103879,1608878798
Biak,Biak,-1.1615,136.0485,Indonesia,ID,IDN,Papua,minor,103610,1360911386
Bayugan,Bayugan,8.7143,125.7481,Philippines,PH,PHL,"""Agusan del Sur""",,103202,1608483872
Talisay,Talisay,10.7333,122.9667,Philippines,PH,PHL,"""Negros Occidental""",,102214,1608509888
"""Teluk Intan""","""Teluk Intan""",4.0333,101.0167,Malaysia,MY,MYS,Perak,,101659,1458126062
"""Sungai Penuh""","""Sungai Penuh""",-2.0636,101.3961,Indonesia,ID,IDN,Jambi,,101325,1360337679
"""Yên Bái""","""Yen Bai""",21.7000,104.8667,Vietnam,VN,VNM,"""Yên Bái""",admin,96540,1704249231
"""Vị Thanh""","""Vi Thanh""",9.7833,105.4708,Vietnam,VN,VNM,"""Hậu Giang""",admin,97200,1704210026
Sibolga,Sibolga,1.7425,98.7792,Indonesia,ID,IDN,"""Sumatera Utara""",,94971,1360021193
Balanga,Balanga,14.6833,120.5333,Philippines,PH,PHL,Bataan,admin,96061,1608467104
Masbate,Masbate,12.3667,123.6167,Philippines,PH,PHL,Masbate,admin,95389,1608802236
"""Nakhon Sawan""","""Nakhon Sawan""",15.7133,100.1353,Thailand,TH,THA,"""Nakhon Sawan""",admin,86439,1764821078
Maasin,Maasin,10.1333,124.8500,Philippines,PH,PHL,"""Southern Leyte""",admin,85560,1608244406
Cukai,Cukai,4.2332,103.4479,Malaysia,MY,MYS,Terengganu,,82425,1458033606
Phuket,Phuket,7.8881,98.3975,Thailand,TH,THA,Phuket,admin,77610,1764327831
"""Ban Talat Rangsit""","""Ban Talat Rangsit""",13.9870,100.6095,Thailand,TH,THA,"""Pathum Thani""",,79319,1764039814
"""Nakhon Pathom""","""Nakhon Pathom""",13.8194,100.0581,Thailand,TH,THA,"""Nakhon Pathom""",admin,78780,1764251992
"""Ubon Ratchathani""","""Ubon Ratchathani""",15.2281,104.8594,Thailand,TH,THA,"""Ubon Ratchathani""",admin,79023,1764611048
"""Quảng Trị""","""Quang Tri""",16.7504,107.2000,Vietnam,VN,VNM,"""Quảng Trị""",,72722,1704089491
"""Prey Veng""","""Prey Veng""",11.4840,105.3240,Cambodia,KH,KHM,"""Prey Veng""",admin,74000,1116378797
Manokwari,Manokwari,-0.8711,134.0693,Indonesia,ID,IDN,"""Papua Barat""",admin,74504,1360451991
Cabadbaran,Cabadbaran,9.1228,125.5346,Philippines,PH,PHL,"""Agusan del Norte""",admin,73639,1608889253
Phitsanulok,Phitsanulok,16.8158,100.2636,Thailand,TH,THA,Phitsanulok,admin,70871,1764140981
Oroquieta,Oroquieta,8.4833,123.8000,Philippines,PH,PHL,"""Misamis Occidental""",admin,70757,1608239509
"""Chiang Rai""","""Chiang Rai""",19.9094,99.8275,Thailand,TH,THA,"""Chiang Rai""",admin,70610,1764748484
Thakhèk,Thakhek,17.4000,104.8000,Laos,LA,LAO,Khammouan,admin,70000,1418367677
Putrajaya,Putrajaya,2.9140,101.7019,Malaysia,MY,MYS,Putrajaya,admin,67964,1458000206
Borongan,Borongan,11.6000,125.4333,Philippines,PH,PHL,"""Eastern Samar""",admin,69297,1608990192
"""Lào Cai""","""Lao Cai""",22.4194,103.9950,Vietnam,VN,VNM,"""Lào Cai""",admin,67206,1704290986
Songkhla,Songkhla,7.2061,100.5967,Thailand,TH,THA,Songkhla,admin,63834,1764543650
Kratie,Kratie,12.4881,106.0188,Cambodia,KH,KHM,Kratie,admin,60000,1116453792
Saraburi,Saraburi,14.5286,100.9114,Thailand,TH,THA,"""Sara Buri""",admin,61750,1764111243
Rayong,Rayong,12.6742,101.2789,Thailand,TH,THA,Rayong,admin,61902,1764920057
Yala,Yala,6.5397,101.2811,Thailand,TH,THA,Yala,admin,61250,1764430323
"""Samut Sakhon""","""Samut Sakhon""",13.5486,100.2775,Thailand,TH,THA,"""Samut Sakhon""",admin,60103,1764502057
"""Bến Tre""","""Ben Tre""",10.2333,106.3833,Vietnam,VN,VNM,"""Bến Tre""",admin,59442,1704108909
Trang,Trang,7.5561,99.6114,Thailand,TH,THA,Trang,admin,60591,1764343817
"""Ban Bang Kaeo""","""Ban Bang Kaeo""",13.6371,100.6636,Thailand,TH,THA,"""Samut Prakan""",,56949,1764813354
"""Samut Prakan""","""Samut Prakan""",13.6004,100.5964,Thailand,TH,THA,"""Samut Prakan""",admin,51309,1764159228
"""Bắc Giang""","""Bac Giang""",21.2731,106.1947,Vietnam,VN,VNM,"""Bắc Giang""",admin,53728,1704256754
Tandag,Tandag,9.0667,126.1833,Philippines,PH,PHL,"""Surigao del Sur""",admin,56364,1608155856
"""Phra Nakhon Si Ayutthaya""","""Phra Nakhon Si Ayutthaya""",14.3550,100.5650,Thailand,TH,THA,"""Phra Nakhon Si Ayutthaya""",admin,52952,1764002329
Vigan,Vigan,17.5747,120.3869,Philippines,PH,PHL,"""Ilocos Sur""",admin,53879,1608368724
Lampang,Lampang,18.3000,99.5000,Thailand,TH,THA,Lampang,admin,55044,1764081847
Padangpanjang,Padangpanjang,-0.4500,100.4167,Indonesia,ID,IDN,"""Sumatera Barat""",,52422,1360231049
"""Prachuap Khiri Khan""","""Prachuap Khiri Khan""",11.8067,99.7956,Thailand,TH,THA,"""Prachuap Khiri Khan""",admin,54018,1764877766
Louangphabang,Louangphabang,19.8931,102.1381,Laos,LA,LAO,Louangphabang,admin,53792,1418530759
"""Sakon Nakhon""","""Sakon Nakhon""",17.1564,104.1456,Thailand,TH,THA,"""Sakon Nakhon""",admin,53618,1764476362
Pursat,Pursat,12.5337,103.9167,Cambodia,KH,KHM,Pursat,admin,52476,1116566865
"""Maha Sarakham""","""Maha Sarakham""",16.1772,103.3008,Thailand,TH,THA,"""Maha Sarakham""",admin,52866,1764568961
Takeo,Takeo,10.9833,104.7833,Cambodia,KH,KHM,Takeo,admin,52000,1116674518
"""Bang Bua Thong""","""Bang Bua Thong""",13.9099,100.4263,Thailand,TH,THA,Nonthaburi,minor,50141,1764694888
Sisophon,Sisophon,13.5833,102.9833,Cambodia,KH,KHM,"""Banteay Meanchey""",admin,50302,1116276411
Kangar,Kangar,6.4414,100.1986,Malaysia,MY,MYS,Perlis,admin,48898,1458939333
"""Nong Khai""","""Nong Khai""",17.8842,102.7467,Thailand,TH,THA,"""Nong Khai""",admin,48274,1764279113
"""Bang Kruai""","""Bang Kruai""",13.8042,100.4755,Thailand,TH,THA,Nonthaburi,minor,42390,1764357378
Pattani,Pattani,6.8664,101.2508,Thailand,TH,THA,Pattani,admin,44234,1764277891
"""Kampong Chhnang""","""Kampong Chhnang""",12.2500,104.6667,Cambodia,KH,KHM,"""Kampong Chhnang""",admin,41700,1116735270
"""Si Sa Ket""","""Si Sa Ket""",15.1069,104.3294,Thailand,TH,THA,Sisaket,admin,42405,1764002764
Kampot,Kampot,10.6000,104.1667,Cambodia,KH,KHM,Kampot,admin,39186,1116966757
"""Cao Bằng""","""Cao Bang""",22.6731,106.2500,Vietnam,VN,VNM,"""Cao Bằng""",admin,41112,1704552735
Narathiwat,Narathiwat,6.4264,101.8231,Thailand,TH,THA,Narathiwat,admin,41342,1764748532
"""Palayan City""","""Palayan City""",15.5333,121.0833,Philippines,PH,PHL,"""Nueva Ecija""",admin,41041,1608192136
"""Ban Sai Ma Tai""","""Ban Sai Ma Tai""",13.8444,100.4829,Thailand,TH,THA,Nonthaburi,,30750,1764698508
Chachoengsao,Chachoengsao,13.6903,101.0703,Thailand,TH,THA,Chachoengsao,admin,39570,1764632382
Surin,Surin,14.8833,103.4931,Thailand,TH,THA,Surin,admin,39728,1764813179
"""Xam Nua""","""Xam Nua""",20.4133,104.0480,Laos,LA,LAO,Houaphan,admin,38992,1418975079
"""Hà Giang""","""Ha Giang""",22.8233,104.9836,Vietnam,VN,VNM,"""Hà Giang""",admin,38362,1704495953
"""Tuyên Quang""","""Tuyen Quang""",21.8281,105.2156,Vietnam,VN,VNM,"""Tuyên Quang""",admin,36430,1704662313
Chaiyaphum,Chaiyaphum,15.8056,102.0311,Thailand,TH,THA,Chaiyaphum,admin,36923,1764784757
Ratchaburi,Ratchaburi,13.5367,99.8169,Thailand,TH,THA,Ratchaburi,admin,36339,1764773366
"""Krong Kep""","""Krong Kep""",10.4828,104.3167,Cambodia,KH,KHM,Kep,admin,35990,1116392544
"""Roi Et""","""Roi Et""",16.0578,103.6514,Thailand,TH,THA,"""Roi Et""",admin,35219,1764216668
Phatthalung,Phatthalung,7.6178,100.0778,Thailand,TH,THA,Phatthalung,admin,35039,1764240863
"""Kampong Thom""","""Kampong Thom""",12.7111,104.8886,Cambodia,KH,KHM,"""Kampong Thom""",admin,31871,1116471297
Kalasin,Kalasin,16.4333,103.5000,Thailand,TH,THA,Kalasin,admin,34437,1764060973
Uttaradit,Uttaradit,17.6256,100.0942,Thailand,TH,THA,Uttaradit,admin,33930,1764146253
"""Kampong Speu""","""Kampong Speu""",11.4500,104.5333,Cambodia,KH,KHM,"""Kampong Speu""",admin,33231,1116446492
Chumphon,Chumphon,10.4939,99.1800,Thailand,TH,THA,Chumphon,admin,33516,1764012939
"""Koh Kong""","""Koh Kong""",11.6167,102.9833,Cambodia,KH,KHM,"""Koh Kong""",admin,33134,1116924669
Mukdahan,Mukdahan,16.5431,104.7228,Thailand,TH,THA,Mukdahan,admin,33102,1764994534
"""Ban Bang Krang""","""Ban Bang Krang""",13.8442,100.4612,Thailand,TH,THA,Nonthaburi,,23010,1764797592
"""Chon Buri""","""Chon Buri""",13.3611,100.9850,Thailand,TH,THA,"""Chon Buri""",admin,29961,1764202077
"""Kuala Belait""","""Kuala Belait""",4.5833,114.1833,Brunei,BN,BRN,Belait,admin,30267,1096999548
Krabi,Krabi,8.0592,98.9189,Thailand,TH,THA,Krabi,admin,30499,1764587855
"""Stung Treng""","""Stung Treng""",13.5167,105.9667,Cambodia,KH,KHM,"""Stung Treng""",admin,29665,1116286673
"""Ban Krathum Lom""","""Ban Krathum Lom""",13.7482,100.3139,Thailand,TH,THA,"""Samut Sakhon""",,24237,1764120004
Kanchanaburi,Kanchanaburi,14.0194,99.5311,Thailand,TH,THA,Kanchanaburi,admin,29581,1764455558
"""Bắc Kạn""","""Bac Kan""",22.1333,105.8333,Vietnam,VN,VNM,"""Bắc Kạn""",admin,29227,1704000217
"""Kamphaeng Phet""","""Kamphaeng Phet""",16.4811,99.5222,Thailand,TH,THA,"""Kamphaeng Phet""",admin,29178,1764367755
"""Samut Songkhram""","""Samut Songkhram""",13.4097,100.0017,Thailand,TH,THA,"""Samut Songkhram""",admin,28493,1764305010
"""Buri Ram""","""Buri Ram""",14.9942,103.1022,Thailand,TH,THA,Buriram,admin,28613,1764141031
"""Nakhon Phanom""","""Nakhon Phanom""",17.4069,104.7808,Thailand,TH,THA,"""Nakhon Phanom""",admin,26437,1764103547
